GG Langtext;DST Langtext;Förderprogramm;Postleitzahl;Ausbezahlte Fördersumme;Anzahl der Förderfälle
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Offene Kinder- und Jugendarbeit (zentral);1080;1156000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Wienweite spezielle Angebote (zentral);1082;4000000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Offene Kinder- und Jugendarbeit (zentral);1170;741000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Wienweite spezielle Angebote (zentral);1170;70000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten;1120;9720;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Offene Kinder- und Jugendarbeit (zentral);1150;304000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Offene Kinder- und Jugendarbeit (zentral);1070;385000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Offene Kinder- und Jugendarbeit (zentral);1140;277000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Offene Kinder- und Jugendarbeit (zentral);1230;21000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Offene Kinder- und Jugendarbeit (zentral);1230;2162000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Offene Kinder- und Jugendarbeit (zentral);1210;19300000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Offene Kinder- und Jugendarbeit (zentral);1210;300000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Offene Kinder- und Jugendarbeit (zentral);1150;711000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Offene Kinder- und Jugendarbeit (zentral);1030;293000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Wienweite spezielle Angebote (zentral);1110;180000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten;1040;35000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;WiKJorgs Gesamtförderung;1030;12034;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten;1210;7000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten;1040;7000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten;1120;7000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten;1010;7000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten;1010;20000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten;1070;357000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Wienweite spezielle Angebote (zentral);1030;54300;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Wienweite spezielle Angebote (zentral);1020;25000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Wienweite spezielle Angebote (zentral);1082;9471000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Offene Kinder- und Jugendarbeit (zentral);1200;604000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Offene Kinder- und Jugendarbeit (zentral);1110;82000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Offene Kinder- und Jugendarbeit (zentral);1030;43000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Offene Kinder- und Jugendarbeit (zentral);1230;35900;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Wienweite spezielle Angebote (zentral);1070;891000;1
